Product Name,Category,Quantity,Price
Wireless Mouse,Electronics,45,799.0
Mechanical Keyboard,Electronics,25,2499.0
USB-C Cable,Electronics,80,399.0
Bluetooth Speaker,Electronics,18,1799.0
Power Bank,Electronics,30,1299.0
Laptop Stand,Electronics,22,999.0
Cotton T-Shirt,Fashion,60,599.0
Denim Jeans,Fashion,35,1499.0
Running Shoes,Fashion,20,2199.0
Casual Shirt,Fashion,40,899.0
Backpack,Fashion,28,1299.0
Sports Cap,Sports,50,349.0
Non-Stick Frying Pan,Home & Kitchen,15,1199.0
Water Bottle,Home & Kitchen,55,499.0
Coffee Mug,Home & Kitchen,70,249.0
Electric Kettle,Home & Kitchen,12,1599.0
Face Wash,Beauty,45,349.0
Shampoo,Beauty,50,499.0
Body Lotion,Beauty,32,399.0
Sunscreen,Beauty,25,599.0
Python Programming Book,Books,18,699.0
SQL Practice Guide,Books,20,549.0
Data Analytics Handbook,Books,14,899.0
Notebook,Books,100,99.0
Football,Sports,16,899.0
Cricket Bat,Sports,10,2499.0
Badminton Racket,Sports,18,1299.0
Yoga Mat,Sports,25,799.0
Remote Control Car,Toys,12,1499.0
Building Blocks,Toys,30,699.0
